accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,mcc,roc_auc_macro,pr_auc_macro,f1_normal,f1_backdoor,f1_ddos,f1_dos,f1_injection,f1_mitm,f1_password,f1_ransomware,f1_scanning,f1_xss,model,seed,fold,task
0.9357719917553129,0.9272494019138756,0.8767942701183327,0.9431463589898296,0.8759835839393189,0.9272494019138756,0.9269687712995129,0.9929025010486006,0.9098473831707821,0.9581960983025082,0.9731387219428431,0.8915841584158416,0.9482669425763063,0.929726996966633,0.2668643439584878,0.9514707707583467,0.9791328251905536,0.9524537922243467,0.9171080508474576,"KAN(cat,1L)",42,1,multiclass
0.9792224407116965,0.9730844976076554,0.9416959521709904,0.9803325960687219,0.9284182289132955,0.9730844976076554,0.9762258269460015,0.9988126604455617,0.963041308708474,0.9891533594456161,0.9996248593222459,0.9672276350752879,0.9809559843612057,0.955928778886223,0.5866261398176292,0.990569596378725,0.9965104685942173,0.9871619095101583,0.9632007903185972,"KAN(cat,ML)",42,1,multiclass
0.9383543793977588,0.9311917464114833,0.8798606114444508,0.9454516055974648,0.8792695498029053,0.9311917464114833,0.9298830307285618,0.9934495002181627,0.9149869506311011,0.9604719169103559,0.9747568033493412,0.897084475454772,0.9482713802963348,0.9380128771619745,0.27715355805243447,0.953522867737948,0.9775728881136307,0.9556800815078961,0.9160792658598218,"KAN(cat,1L)",42,2,multiclass
0.9793645904901798,0.9734779665071771,0.9380324872379322,0.9809057377663559,0.9254735902514073,0.9734779665071771,0.9763971927016498,0.9989944048044498,0.960667534225875,0.9888710647683978,0.998874296435272,0.9689315483708008,0.9814464218099205,0.9648343277897676,0.5411436541143654,0.991455139482282,0.995640802092415,0.9888791703111334,0.9602484472049689,"KAN(cat,ML)",42,2,multiclass
0.9346821767869412,0.9321710287081342,0.8772544422757436,0.9421042027124065,0.8758240703001945,0.9321710287081342,0.9257579609155736,0.9932437424992786,0.9124549868145152,0.9560227503554743,0.9712953876349362,0.8854696612482938,0.9466995201659967,0.9336051994392761,0.27988338192419826,0.9501357689459393,0.9742697327532629,0.9530372639101582,0.9221257563799,"KAN(cat,1L)",42,3,multiclass
0.9799805728636073,0.9738094976076554,0.9421136991001339,0.9811167405582595,0.928834990962369,0.9738094976076554,0.9771027531160175,0.9989607774269317,0.9690734585243683,0.9902024820378837,0.9987493746873437,0.971219389043171,0.9806744979158772,0.9585241730279899,0.583963691376702,0.9927172275238574,0.9968839586189705,0.9873165879134543,0.9608856088560885,"KAN(cat,ML)",42,3,multiclass
0.9346806292645944,0.9271034615384615,0.8758610743307595,0.9422509825006209,0.8751466557925738,0.9271034615384615,0.9257428562809175,0.9926017136645949,0.906422797459928,0.9552996093155411,0.9735514823471522,0.8884452208634889,0.9438610138726825,0.9353045236290118,0.26258205689277897,0.950990099009901,0.9748045178105995,0.9555017212801225,0.9182704982863169,"KAN(cat,1L)",42,4,multiclass
0.9779188779378317,0.9731542307692308,0.9352421751184693,0.9796681887844343,0.9224530304448841,0.9731542307692308,0.9747583664681763,0.9986075248755102,0.9598803882580297,0.9871711022790159,0.9996248593222459,0.9654386631219142,0.9817767653758542,0.9612324788483394,0.522911051212938,0.9900840968997113,0.995393999751027,0.9889179429709875,0.9598707914026587,"KAN(cat,ML)",42,4,multiclass
0.9335670962850644,0.9295746153846153,0.8753455737288351,0.9413377925987279,0.8748280910169756,0.9295746153846153,0.9245080415034312,0.9929808289051948,0.9088096682423444,0.9554935295610251,0.9730392156862745,0.8904708380167353,0.945974025974026,0.9349202329703723,0.26761565836298934,0.9454365079365079,0.9699975204562361,0.9523323986744838,0.9181758096497026,"KAN(cat,1L)",42,5,multiclass
0.9763315011372252,0.9695869230769232,0.9277109510223251,0.9789339898506116,0.9171121904817495,0.9695869230769232,0.972965440206001,0.9985006619445025,0.9600169603178953,0.988802410243535,0.9994998749687422,0.969053934571176,0.980253164556962,0.9581111957349581,0.45422116527942924,0.9899295065458208,0.9953962921488118,0.9874049133308392,0.9544370528429773,"KAN(cat,ML)",42,5,multiclass
